networkin_kinase	phospho_elm_kinase
|PLK1|	PLK1
|PLK3|	PLK3
|PRP4|	PRP4
|PYK2|	PYK2
|RAF1|	RAF1
|RET|	RET
|ROCK1|	ROCK1
|ROCK2|	ROCK2
|ROCKgroup|	ROCK_group
|RON|	RON
|RSK1|	RSK-1
|RSK2|	RSK-2
|RSK3|	RSK-3
|RSK5|	RSK-5
|RSKgroup|	RSK_group
|SGKgroup|	SGK_group
|SIK|	SIK
|SRC|	SRC
|SRCgroup|	SRC_group
|STLK3|	STLK3
|SYK|	SYK
|TBK1|	TBK1
|TEC|	TEC
|TESK1|	TESK1
|TESK2|	TESK2
|TGFbR1|	TGFbR1
|TGFbR2|	TGFbR2
|TIE1|	TIE1
|TIE2|	TIE2
|TLK1|	TLK1
|TNK2|	TNK2
|TRKA|	TRKA
|TRKB|	TRKB
|TSSK3|	TSSK3
|TTK|	TTK
|TXK|	TXK
|Titinkinase|	Titin kinase
|Tropomyosinkinase|	Tropomyosin kinase
|Tyk2|	Tyk2
|VRK1|	VRK1
|WEE1|	WEE1
|WNK1|	WNK1
|Yes|	Yes
|ZAP70|	ZAP70
|mTOR|	mTOR
|p38group|	p38_group
|p70S6K|	p70S6K
|p70S6Kgroup|	p70S6K_group
|p70S6Kb|	p70S6Kb
